img_num,prediction tag,prediction type,layers,scalings,scribbles mode,scribbles bin,suffix,class_1_pix_gt,class_2_pix_gt,min_class_pix_gt,max_class_pix_gt,pix_labelled,class_1_pix_labelled,class_2_pix_labelled,min_class_pix_labelled,max_class_pix_labelled,pix_in_img,perc. labelled,accuracy,mPrecision,mRecall,mIoU,mF1,image,ground truth,scribbles,prediction
49,channels,channels,,,all,0.01,run08,179433,16663,16663,179433,14,11,3,3,11,196096,0.007139360313315927,0.9412889605091384,0.8982222540432383,0.6840949674625363,0.6453521595782267,0.7443619617353678,/mnt/imaging.data/rschwob/cellpose_run07/049_img.png,/mnt/imaging.data/rschwob/cellpose_run07/049_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/049_scribbles_all_00010_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/049_channels_all_00010_w1_run08.png
49,channels,channels,,,all,0.1,run08,179433,16663,16663,179433,181,130,51,51,130,196096,0.09230172976501305,0.9872817395561357,0.9356853332901282,0.9917709886009568,0.9277983568322326,0.9615972188476262,/mnt/imaging.data/rschwob/cellpose_run07/049_img.png,/mnt/imaging.data/rschwob/cellpose_run07/049_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/049_scribbles_all_00100_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/049_channels_all_00100_w1_run08.png
49,channels,channels,,,all,1.0,run08,179433,16663,16663,179433,1929,1371,558,558,1371,196096,0.983701860313316,0.9889339915143603,0.9502692806351245,0.9824118752080215,0.9350288670206772,0.9656504696400182,/mnt/imaging.data/rschwob/cellpose_run07/049_img.png,/mnt/imaging.data/rschwob/cellpose_run07/049_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/049_scribbles_all_01000_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/049_channels_all_01000_w1_run08.png
50,channels,channels,,,all,0.01,run08,178281,17815,17815,178281,14,11,3,3,11,196096,0.007139360313315927,0.9779495757180157,0.9508319275105666,0.9118859584347826,0.8750639927986595,0.9302607734007536,/mnt/imaging.data/rschwob/cellpose_run07/050_img.png,/mnt/imaging.data/rschwob/cellpose_run07/050_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/050_scribbles_all_00010_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/050_channels_all_00010_w1_run08.png
50,channels,channels,,,all,0.1,run08,178281,17815,17815,178281,178,129,49,49,129,196096,0.09077186684073107,0.9851552300913838,0.9471221054618256,0.9652606398653842,0.9179029254281739,0.9559630415812204,/mnt/imaging.data/rschwob/cellpose_run07/050_img.png,/mnt/imaging.data/rschwob/cellpose_run07/050_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/050_scribbles_all_00100_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/050_channels_all_00100_w1_run08.png
50,channels,channels,,,all,1.0,run08,178281,17815,17815,178281,1916,1364,552,552,1364,196096,0.977072454308094,0.9828604357049608,0.9347580930067209,0.9666005397858841,0.9075417604177962,0.9499624728675808,/mnt/imaging.data/rschwob/cellpose_run07/050_img.png,/mnt/imaging.data/rschwob/cellpose_run07/050_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/050_scribbles_all_01000_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/050_channels_all_01000_w1_run08.png
51,channels,channels,,,all,0.01,run08,189735,6361,6361,189735,15,12,3,3,12,196096,0.007649314621409922,0.996170243146214,0.9575358221105594,0.9839667072701335,0.9438146808016785,0.9703519080962126,/mnt/imaging.data/rschwob/cellpose_run07/051_img.png,/mnt/imaging.data/rschwob/cellpose_run07/051_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/051_scribbles_all_00010_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/051_channels_all_00010_w1_run08.png
51,channels,channels,,,all,0.1,run08,189735,6361,6361,189735,180,138,42,42,138,196096,0.09179177545691906,0.9886637157310705,0.9842344332420745,0.8319485723779425,0.8218547124839326,0.8929648506183183,/mnt/imaging.data/rschwob/cellpose_run07/051_img.png,/mnt/imaging.data/rschwob/cellpose_run07/051_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/051_scribbles_all_00100_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/051_channels_all_00100_w1_run08.png
51,channels,channels,,,all,1.0,run08,189735,6361,6361,189735,1930,1417,513,513,1417,196096,0.9842118146214098,0.9962008404046997,0.9629292008015262,0.9777530822275156,0.9435724669779335,0.9702155328754326,/mnt/imaging.data/rschwob/cellpose_run07/051_img.png,/mnt/imaging.data/rschwob/cellpose_run07/051_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/051_scribbles_all_01000_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/051_channels_all_01000_w1_run08.png
52,channels,channels,,,all,0.01,run08,175275,20821,20821,175275,14,11,3,3,11,196096,0.007139360313315927,0.9779393766318538,0.9564624235893457,0.9246402776905203,0.8902968848885561,0.939799471936487,/mnt/imaging.data/rschwob/cellpose_run07/052_img.png,/mnt/imaging.data/rschwob/cellpose_run07/052_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/052_scribbles_all_00010_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/052_channels_all_00010_w1_run08.png
